PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked
1;0;3;1;22.0;1;0;7.25;2
2;1;1;0;38.0;1;0;71.2833;0
3;1;3;0;26.0;0;0;7.925;2
4;1;1;0;35.0;1;0;53.1;2
5;0;3;1;35.0;0;0;8.05;2
7;0;1;1;54.0;0;0;51.8625;2
8;0;3;1;2.0;3;1;21.075;2
9;1;3;0;27.0;0;2;11.1333;2
10;1;2;0;14.0;1;0;30.0708;0
11;1;3;0;4.0;1;1;16.7;2
12;1;1;0;58.0;0;0;26.55;2
13;0;3;1;20.0;0;0;8.05;2
14;0;3;1;39.0;1;5;31.275;2
15;0;3;0;14.0;0;0;7.8542;2
16;1;2;0;55.0;0;0;16.0;2
17;0;3;1;2.0;4;1;29.125;1
19;0;3;0;31.0;1;0;18.0;2
21;0;2;1;35.0;0;0;26.0;2
22;1;2;1;34.0;0;0;13.0;2
23;1;3;0;15.0;0;0;8.0292;1
24;1;1;1;28.0;0;0;35.5;2
25;0;3;0;8.0;3;1;21.075;2
26;1;3;0;38.0;1;5;31.3875;2
28;0;1;1;19.0;3;2;263.0;2
31;0;1;1;40.0;0;0;27.7208;0
34;0;2;1;66.0;0;0;10.5;2
35;0;1;1;28.0;1;0;82.1708;0
36;0;1;1;42.0;1;0;52.0;2
38;0;3;1;21.0;0;0;8.05;2
39;0;3;0;18.0;2;0;18.0;2
40;1;3;0;14.0;1;0;11.2417;0
41;0;3;0;40.0;1;0;9.475;2
42;0;2;0;27.0;1;0;21.0;2
44;1;2;0;3.0;1;2;41.5792;0
45;1;3;0;19.0;0;0;7.8792;1
50;0;3;0;18.0;1;0;17.8;2
51;0;3;1;7.0;4;1;39.6875;2
52;0;3;1;21.0;0;0;7.8;2
53;1;1;0;49.0;1;0;76.7292;0
54;1;2;0;29.0;1;0;26.0;2
55;0;1;1;65.0;0;1;61.9792;0
57;1;2;0;21.0;0;0;10.5;2
58;0;3;1;28.5;0;0;7.2292;0
59;1;2;0;5.0;1;2;27.75;2
60;0;3;1;11.0;5;2;46.9;2
61;0;3;1;22.0;0;0;7.2292;0
63;0;1;1;45.0;1;0;83.475;2
64;0;3;1;4.0;3;2;27.9;2
67;1;2;0;29.0;0;0;10.5;2
68;0;3;1;19.0;0;0;8.1583;2
69;1;3;0;17.0;4;2;7.925;2
70;0;3;1;26.0;2;0;8.6625;2
71;0;2;1;32.0;0;0;10.5;2
72;0;3;0;16.0;5;2;46.9;2
73;0;2;1;21.0;0;0;73.5;2
74;0;3;1;26.0;1;0;14.4542;0
75;1;3;1;32.0;0;0;56.4958;2
76;0;3;1;25.0;0;0;7.65;2
79;1;2;1;0.83;0;2;29.0;2
80;1;3;0;30.0;0;0;12.475;2
81;0;3;1;22.0;0;0;9.0;2
82;1;3;1;29.0;0;0;9.5;2
84;0;1;1;28.0;0;0;47.1;2
85;1;2;0;17.0;0;0;10.5;2
86;1;3;0;33.0;3;0;15.85;2
87;0;3;1;16.0;1;3;34.375;2
89;1;1;0;23.0;3;2;263.0;2
90;0;3;1;24.0;0;0;8.05;2
91;0;3;1;29.0;0;0;8.05;2
92;0;3;1;20.0;0;0;7.8542;2
93;0;1;1;46.0;1;0;61.175;2
94;0;3;1;26.0;1;2;20.575;2
95;0;3;1;59.0;0;0;7.25;2
97;0;1;1;71.0;0;0;34.6542;0
98;1;1;1;23.0;0;1;63.3583;0
99;1;2;0;34.0;0;1;23.0;2
100;0;2;1;34.0;1;0;26.0;2
101;0;3;0;28.0;0;0;7.8958;2
103;0;1;1;21.0;0;1;77.2875;2
104;0;3;1;33.0;0;0;8.6542;2
105;0;3;1;37.0;2;0;7.925;2
106;0;3;1;28.0;0;0;7.8958;2
107;1;3;0;21.0;0;0;7.65;2
109;0;3;1;38.0;0;0;7.8958;2
111;0;1;1;47.0;0;0;52.0;2
112;0;3;0;14.5;1;0;14.4542;0
113;0;3;1;22.0;0;0;8.05;2
114;0;3;0;20.0;1;0;9.825;2
115;0;3;0;17.0;0;0;14.4583;0
116;0;3;1;21.0;0;0;7.925;2
117;0;3;1;70.5;0;0;7.75;1
118;0;2;1;29.0;1;0;21.0;2
119;0;1;1;24.0;0;1;247.5208;0
120;0;3;0;2.0;4;2;31.275;2
121;0;2;1;21.0;2;0;73.5;2
123;0;2;1;32.5;1;0;30.0708;0
124;1;2;0;32.5;0;0;13.0;2
125;0;1;1;54.0;0;1;77.2875;2
126;1;3;1;12.0;1;0;11.2417;0
128;1;3;1;24.0;0;0;7.1417;2
130;0;3;1;45.0;0;0;6.975;2
131;0;3;1;33.0;0;0;7.8958;0
132;0;3;1;20.0;0;0;7.05;2
133;0;3;0;47.0;1;0;14.5;2
134;1;2;0;29.0;1;0;26.0;2
135;0;2;1;25.0;0;0;13.0;2
136;0;2;1;23.0;0;0;15.0458;0
137;1;1;0;19.0;0;2;26.2833;2
138;0;1;1;37.0;1;0;53.1;2
139;0;3;1;16.0;0;0;9.2167;2
140;0;1;1;24.0;0;0;79.2;0
142;1;3;0;22.0;0;0;7.75;2
143;1;3;0;24.0;1;0;15.85;2
144;0;3;1;19.0;0;0;6.75;1
145;0;2;1;18.0;0;0;11.5;2
146;0;2;1;19.0;1;1;36.75;2
147;1;3;1;27.0;0;0;7.7958;2
148;0;3;0;9.0;2;2;34.375;2
149;0;2;1;36.5;0;2;26.0;2
150;0;2;1;42.0;0;0;13.0;2
151;0;2;1;51.0;0;0;12.525;2
152;1;1;0;22.0;1;0;66.6;2
153;0;3;1;55.5;0;0;8.05;2
154;0;3;1;40.5;0;2;14.5;2
156;0;1;1;51.0;0;1;61.3792;0
157;1;3;0;16.0;0;0;7.7333;1
158;0;3;1;30.0;0;0;8.05;2
161;0;3;1;44.0;0;1;16.1;2
162;1;2;0;40.0;0;0;15.75;2
163;0;3;1;26.0;0;0;7.775;2
